name,address,lat,lng,category,mid_category,sub_category,search,rating,reviews
삼성딜라이트,서울 서초구 서초대로74길 11-0,37.4966085,127.0269023,관광지,문화관광,전시시설,285,4.7,12
갤러리에스피,서울 용산구 회나무로44가길 30-0,37.5382689,126.9942755,관광지,문화관광,전시시설,285,0,0
배꽃근린공원,서울 강남구,37.6042542,127.0749312,관광지,문화관광,도시공원,285,0,0
파리15구공원,서울 서초구,48.8421297,2.2927047,관광지,문화관광,도시공원,285,1,1
구로구민회관대강당,서울 구로구 가마산로25길 21-0,37.497057,126.8895588,관광지,문화관광,공연시설,284,0,0
청룡암,서울 성북구 동소문로3길 32-0,37.5895197,127.0068059,관광지,역사관광,종교성지,283,5,3
녹사평역광장,서울 용산구 이태원로 134-0,37.5338386,126.9888022,관광지,문화관광,도시공원,283,5,2
스포빌&키즈쿠아,서울 중구 청계천로 400-0,37.5708733,127.0213284,관광지,문화관광,테마공원,283,0,0
성북마을극장,서울 성북구 동소문로20다길 10-0,37.5915775,127.0173297,관광지,문화관광,공연시설,282,5,4
아트필드갤러리,서울 영등포구 도림로129길 2-1,37.5137071,126.8953016,관광지,문화관광,전시시설,282,4,1
성북어린이미술관꿈자람,서울 성북구 화랑로18자길 13-0,37.6049353,127.0505729,관광지,문화관광,전시시설,282,0,0
2001아울렛소극장키즈홀구로점,서울 구로구 중앙로1길 36-0,37.4980159,126.8626833,관광지,문화관광,기타문화관광지,281,0,0
상계예술마당,서울 노원구 상계로10길 41-7,37.655735,127.0683699,관광지,문화관광,기타문화관광지,280,0,0
가락공원,서울 송파구 중대로 179-0,37.4983341,127.1245729,관광지,문화관광,도시공원,279,5,1
관음사,서울 구로구 오리로22길 77-0,37.4998366,126.8329971,관광지,역사관광,종교성지,279,0,0
성북근린공원,서울 성북구,37.5957262,127.007077,관광지,문화관광,도시공원,279,0,0
뮤팩,서울 성동구 무학로6길 51-0,37.5648722,127.0358684,관광지,문화관광,공연시설,278,5,5
빅히트바다낚시터,서울 송파구 동남로 211-0,37.4963108,127.1312282,관광지,레저스포츠,수상레저스포츠,278,3,2
아쿠아마린키즈스윔돈암점,서울 성북구 동소문로 125-0,37.5941167,127.0182044,관광지,문화관광,테마공원,278,0,0
모노하성수,서울 성동구 성수이로20길 16-0,37.5424333,127.0609785,관광지,문화관광,전시시설,277,3.9,9
관훈갤러리,서울 종로구 인사동11길 11-0,37.5737758,126.9842368,관광지,문화관광,전시시설,277,4.1,7
비움갤러리,서울 중구 퇴계로36길 35-0,37.5604318,126.9952307,관광지,문화관광,전시시설,277,5,4
인성빌딩,서울 강남구 학동로 148-0,37.5125467,127.0271761,관광지,문화관광,전시시설,277,0,0
국기원태권도상설공연위대한태권도,서울 강남구 테헤란로7길 32-0,37.5022555,127.030309,관광지,문화관광,기타문화관광지,277,0,0
무궁화어린이공원,서울 강동구 양재대로124길 62-0,37.5423345,127.1453894,관광지,문화관광,도시공원,277,0,0
수암사,서울 노원구,37.6758228,127.0794233,관광지,역사관광,종교성지,277,4,1
청계산수변공원,서울 서초구,37.4569723,127.0492254,관광지,문화관광,도시공원,276,0,0
송주사,서울 강북구,37.6594685,127.0107693,관광지,역사관광,종교성지,276,0,0
모랩스튜디오,서울 마포구 월드컵로10길 9-0,37.554635,126.9122129,관광지,체험관광,공예체험,275,4.3,11
초록씨어터,서울 종로구 대학로 128-0,37.5826659,127.0021429,관광지,문화관광,공연시설,275,5,1
보국사,서울 성북구 아리랑로19길 70-0,37.6017509,127.0097622,관광지,역사관광,종교성지,275,0,0
몬스터키즈풀,서울 은평구 서오릉로 160-0,37.6125631,126.9156431,관광지,문화관광,테마공원,274,0,0
서촌공간서로,서울 종로구 필운대로7길 12-0,37.5815528,126.967847,관광지,문화관광,공연시설,273,3,2
갤러리이마주,서울 강남구 테헤란로20길 12-0,37.4988534,127.0342027,관광지,문화관광,전시시설,273,5,1
서울워터밤,서울 송파구 올림픽로 25-0,37.5140929,127.0749534,관광지,문화관광,기타문화관광지,273,0,0
영등포구곤충체험학습장,서울 영등포구 선유동1로 80-0,37.528402,126.8944208,관광지,기타관광,기타관광,272,3,3
코델아트홀,서울 종로구 동숭길 78-0,37.5817072,127.0042819,관광지,문화관광,공연시설,272,3.7,3
상암문화광장,서울 마포구 성암로 255-0,37.5740931,126.9035854,관광지,문화관광,기타문화관광지,272,5,2
불광사,서울 은평구 불광로18길 49-0,37.6232684,126.9365567,관광지,역사관광,종교성지,270,3,1
예원화랑,서울 강남구 삼성로 319-0,37.5002983,127.0597211,관광지,문화관광,전시시설,270,0,0
여의도샛강안내센터,서울 영등포구 여의동로 48-0,37.5187274,126.9218961,관광지,기타관광,기타관광,270,0,0
관악산샘말공원,서울 관악구 대학20길 9-0,37.4637826,126.9370981,관광지,문화관광,도시공원,269,3.6,5
종묘,서울 종로구 종로 157-0,37.5729316,126.9943518,관광지,역사관광,역사유적지,268,4.8,57
에듀건본점,서울 강동구 양재대로81길 64-0,37.524029,127.1309793,관광지,레저스포츠,육상레저스포츠,268,0,0
전등사,서울 성북구 선잠로 12-18,37.5948309,127.0001426,관광지,역사관광,종교성지,268,0,0
강북사격장,서울 강북구 노해로 19-0,37.6371932,127.0226583,관광지,레저스포츠,육상레저스포츠,267,4.5,2
삼세영,서울 종로구 평창44길 2-0,37.6135949,126.9782609,관광지,문화관광,전시시설,267,5,1
압구정마트,서울 강남구 언주로151길 11-0,37.5219123,127.0323489,관광지,쇼핑,대형마트,267,0,0
서봉갤러리,서울 마포구 와우산로 81-0,37.5517107,126.923172,관광지,문화관광,전시시설,267,0,0
보혜미안갤러리,서울 용산구 소월로 314-0,37.5413841,126.9961064,관광지,문화관광,전시시설,267,0,0
서울빛초롱축제,서울 종로구,37.56907487,126.977592,관광지,문화관광,기타문화관광지,267,4.2,29
여래사,서울 성북구 정릉로 57-57,37.6065411,126.9972111,관광지,역사관광,종교성지,266,4,1
캠퍼스디,서울 영등포구 양평로21길 20-0,37.5364772,126.8924233,관광지,문화관광,기타문화관광지,266,0,0
양재종합시장,서울 서초구 남부순환로356길 15-0,37.4842744,127.0379522,관광지,쇼핑,시장,265,0,0
불암산생태학습관,서울 노원구 한글비석로12길 37-0,37.6559464,127.0802603,관광지,문화관광,기타문화관광지,264,5,1
롯데캐슬프리미어공원,서울 강남구 선릉로126길 22-0,37.5151584,127.0451257,관광지,문화관광,도시공원,264,0,0
서원암,서울 도봉구 도봉로155길 40-0,37.6730383,127.0417096,관광지,역사관광,종교성지,264,0,0
피에스미트,서울 성동구 마장로33길 73-0,37.5711945,127.0397037,관광지,쇼핑,시장,264,0,0
스페이스랩목동센터,서울 양천구 중앙로32길 75-0,37.5207356,126.8616666,관광지,레저스포츠,기타레저스포츠,264,0,0
구로개봉유수지생태공원,서울 구로구,37.324076,127.0862177,관광지,문화관광,도시공원,263,3.3,6
서울교통공사미술관,서울 종로구 사직로 130-0,37.5753274,126.973307,관광지,문화관광,전시시설,262,4,1
CRCollective,서울 마포구 성미산로 120-0,37.5624397,126.9202603,관광지,문화관광,전시시설,262,0,0
연화사,서울 은평구 진관4로 48-84,37.6396375,126.9276272,관광지,역사관광,종교성지,262,0,0
보각사,서울 종로구 평창5길 15-6,37.6126967,126.9641162,관광지,역사관광,종교성지,262,0,0
호리아트스페이스,서울 강남구 압구정로80길 26-0,37.5247602,127.044596,관광지,문화관광,전시시설,261,0,0
부엉이박물관,서울 종로구 북촌로 143-10,37.5870466,126.9829208,관광지,문화관광,전시시설,261,0,0
바라캇컨템포러리,서울 종로구 삼청로7길 36-0,37.5838777,126.9803057,관광지,문화관광,전시시설,260,4,5
프로타주갤러리,서울 마포구 독막로15길 12-0,37.5483164,126.9222758,관광지,문화관광,전시시설,260,4,4
베네치아메가몰B블럭가동,서울 중구 청계천로 370-0,37.570469,127.0186429,관광지,쇼핑,쇼핑몰,260,5,4
세곡커뮤니티센터,서울 강남구 헌릉로590길 68-0,37.4629612,127.101282,관광지,문화관광,기타문화관광지,260,0,0
설렘아트홀,서울 광진구 능동로19길 23-0,37.5470398,127.0724438,관광지,문화관광,공연시설,260,0,0
서울카페쇼,서울 강남구,37.511785,127.0588721,관광지,문화관광,기타문화관광지,260,0,0
방배근린공원,서울 서초구 효령로28길 16-0,37.4796184,126.9960085,관광지,문화관광,도시공원,259,0,0
광림선원,서울 서대문구 독립문공원길 146-0,37.5720587,126.9541322,관광지,역사관광,종교성지,258,5,1
상일근린공원,서울 강동구 상암로79가길 3-0,37.5469247,127.167366,관광지,문화관광,도시공원,258,0,0
한식진흥원,서울 종로구 북촌로 18-0,37.5783486,126.9858106,관광지,문화관광,기타문화관광지,257,1.8,5
에르마노키즈카페,서울 강동구 상암로 195-0,37.5465885,127.1441673,관광지,문화관광,테마공원,256,3.5,2
캘리클럽고척점,서울 구로구 경인로43길 49-0,37.4979721,126.8604851,관광지,문화관광,테마공원,256,0,0
DSM아트홀,서울 마포구 독막로3길 45-0,37.5502898,126.9175531,관광지,문화관광,기타문화관광지,256,0,0
갤러리민정,서울 종로구 삼청로 90-1,37.5833989,126.9819436,관광지,문화관광,전시시설,256,0,0
샘터파랑새극장,서울 종로구 대학로 116-0,37.5814942,127.0023216,관광지,문화관광,공연시설,255,4.5,2
스카이아트홀,서울 강서구 화곡로63길 65-0,37.5579326,126.8491762,관광지,문화관광,공연시설,255,0,0
법융사,서울 송파구 중대로40길 5-0,37.5077699,127.1339864,관광지,역사관광,종교성지,255,0,0
능인심인당,서울 영등포구 영신로8길 6-0,37.5129282,126.9096061,관광지,역사관광,종교성지,254,0,0
왕십리광장,서울 성동구,37.5612515,127.036774,관광지,문화관광,도시공원,254,5,2
양재플라워페스타,서울 서초구 강남대로 27-0,37.466168,127.0402043,관광지,문화관광,기타문화관광지,253,0,0
디큐브백화점,서울 구로구 경인로 662-0,37.5084321,126.8887332,관광지,쇼핑,백화점,252,2.9,32
봉황각,서울 강북구 삼양로173길 107-12,37.6602385,127.0060141,관광지,역사관광,역사유적지,252,0,0
PRM프로맘킨더갤러리아포레점,서울 성동구 서울숲2길 32-14,37.5463874,127.042291,관광지,문화관광,테마공원,252,0,0
